0,0,0,01
0.1,0.01,0.3162,01
0.2,0.04,0.4472,01
0.3,0.09,0.5477,01
0.4,0.16,0.6324,01
0.5,0.25,0.7071,01
0.6,0.36,0.7749,01
0.7,0.49,0.8366,01
0.8,0.64,0.8944,01
0.9,0.81,0.9486,01
1,1,1.0000,01
1.1,1.21,1.0488,01
1.2,1.44,1.0954,01
1.3,1.69,1.1402,01
1.4,1.96,1.1832,01
1.5,2.25,1.2247,01
1.6,2.56,1.2649,01
1.7,2.89,1.3038,01
1.8,3.24,1.3416,01
1.9,3.61,1.3784,01
2,4,1.4142,01
2.1,4.41,1.4491,01
2.2,4.84,1.4832,01
2.3,5.29,1.5166,01
2.4,5.76,1.5492,01
2.5,6.25,1.5811,01
2.6,6.76,1.6125,01
2.7,7.29,1.6432,01
2.8,7.84,1.6733,01
2.9,8.41,1.7029,01
3,9,1.7321,01
3.1,9.61,1.7614,01
3.2,10.24,1.7900,01
3.3,10.89,1.8171,01
3.4,11.56,1.8442,01
3.5,12.25,1.8708,01
3.6,12.96,1.8974,01
3.7,13.69,1.9235,01
3.8,14.44,1.9490,01
3.9,15.21,1.9748,01
4,16,2.0000,01
4.1,16.81,2.0248,01
4.2,17.64,2.0494,01
4.3,18.49,2.0736,01
4.4,19.36,2.0976,01
4.5,20.25,2.1213,01
4.6,21.16,2.1448,01
4.7,22.09,2.1679,01
4.8,23.04,2.1909,01
4.9,24.01,2.2136,01
5,25,2.2361,01
5.1,25.99,2.2583,01
5.2,27.04,2.2804,01
5.3,28.09,2.3022,01
5.4,29.16,2.3238,01
5.5,30.25,2.3452,01
5.6,31.36,2.3664,01
5.7,32.49,2.3875,01
5.8,33.64,2.4083,01
5.9,34.81,2.4290,01
6,36,2.4495,01
6.1,37.21,2.4698,01
6.2,38.44,2.4900,01
6.3,39.69,2.5100,01
6.4,40.96,2.5298,01
6.5,42.25,2.5495,01
6.6,43.56,2.5690,01
6.7,44.89,2.5884,01
6.8,46.24,2.6077,01
6.9,47.61,2.6268,01
7,49,2.6458,01
7.1,50.41,2.6646,01
7.2,51.84,2.6833,01
7.3,53.29,2.7019,01
7.4,54.76,2.7204,01
7.5,56.25,2.7386,01
7.6,57.76,2.7568,01
7.7,59.29,2.7749,01
7.8,60.84,2.7929,01
7.9,62.41,2.8107,01
8,64,2.8284,01
8.1,65.61,2.8460,01
8.2,67.24,2.8636,01
8.3,68.89,2.8810,01
8.4,70.56,2.8983,01
8.5,72.25,2.9155,01
8.6,73.96,2.9325,01
8.7,75.69,2.9495,01
8.8,77.44,2.9664,01
8.9,79.21,2.9832,01
9,81,3.0000,01
9.1,82.81,3.0167,01
9.2,84.64,3.0332,01
9.3,86.49,3.0497,01
9.4,88.36,3.0660,01
9.5,90.25,3.0822,01
9.6,92.16,3.0984,01
9.7,94.09,3.1145,01
9.8,96.04,3.1305,01
9.9,98.01,3.1464,01
10,100,3.1623,01
10.1,102.01,3.1781,01
10.2,104.04,3.1937,01
10.3,106.09,3.2094,01
10.4,108.16,3.2250,01
10.5,110.25,3.2404,01
10.6,112.36,3.2558,01
10.7,114.49,3.2711,01
10.8,116.64,3.2863,01
10.9,118.81,3.3015,01
11,121,3.3166,01
11.1,123.21,3.3317,01
11.2,125.44,3.3467,01
11.3,127.69,3.3617,01
11.4,129.96,3.3766,01
11.5,132.25,3.3915,01
11.6,134.56,3.4063,01
11.7,136.89,3.4211,01
11.8,139.24,3.4358,01
11.9,141.61,3.4504,01
12,144,3.4641,01
12.1,146.41,3.4787,01
12.2,148.84,3.4933,01
12.3,151.29,3.5078,01
12.4,153.76,3.5222,01
12.5,156.25,3.5367,01
12.6,158.76,3.5511,01
12.7,161.29,3.5655,01
12.8,163.84,3.5798,01
12.9,166.41,3.5941,01
13,169,3.6056,01
13.1,171.61,3.6190,01
13.2,174.24,3.6323,01
13.3,176.89,3.6457,01
13.4,179.56,3.6590,01
13.5,182.25,3.6723,01
13.6,184.96,3.6855,01
13.7,187.69,3.6988,01
13.8,190.44,3.7120,01
13.9,193.21,3.7252,01
14,196,3.7417,01
14.1,198.81,3.7549,01
14.2,201.64,3.7680,01
14.3,204.49,3.7812,01
14.4,207.36,3.7944,01
14.5,210.25,3.8075,01
14.6,213.16,3.8206,01
14.7,216.09,3.8337,01
14.8,219.04,3.8467,01
14.9,222.01,3.8598,01
15,225,3.8729,01
15.1,228.01,3.8859,01
15.2,231.04,3.8989,01
15.3,234.09,3.9119,01
15.4,237.16,3.9249,01
15.5,240.25,3.9379,01
15.6,243.36,3.9508,01
15.7,246.49,3.9638,01
15.8,249.64,3.9767,01
15.9,252.81,3.9896,01
16,256,4.0000,01
16.1,259.21,4.0125,01
16.2,262.44,4.0249,01
16.3,265.69,4.0373,01
16.4,268.96,4.0497,01
16.5,272.25,4.0620,01
16.6,275.56,4.0741,01
16.7,278.89,4.0862,01
16.8,282.24,4.0983,01
16.9,285.61,4.1104,01
17,289,4.1231,01
17.1,292.41,4.1355,01
17.2,295.84,4.1479,01
17.3,299.29,4.1603,01
17.4,302.76,4.1725,01
17.5,306.25,4.1847,01
17.6,309.76,4.1969,01
17.7,313.29,4.2090,01
17.8,316.84,4.2211,01
17.9,320.41,4.2332,01
18,324,4.2426,01
18.1,327.61,4.2455,01
18.2,331.24,4.2484,01
18.3,334.89,4.2514,01
18.4,338.56,4.2543,01
18.5,342.25,4.2573,01
18.6,345.96,4.2602,01
18.7,349.69,4.2632,01
18.8,353.44,4.2661,01
18.9,357.21,4.2690,01
19,361,4.3589,01
19.1,364.81,4.3620,01
19.2,368.64,4.3651,01
19.3,372.49,4.3681,01
19.4,376.36,4.3711,01
19.5,380.25,4.3741,01
19.6,384.16,4.3771,01
19.7,388.09,4.3800,01
19.8,392.04,4.3830,01
19.9,396.01,4.3859,01
20,400,4.4721,01
20.1,404.01,4.4750,01
20.2,408.04,4.4779,01
20.3,412.09,4.4808,01
20.4,416.16,4.4836,01
20.5,420.25,4.4865,01
20.6,424.36,4.4893,01
20.7,428.49,4.4922,01
20.8,432.64,4.4950,01
20.9,436.81,4.4978,01
21,441,4.5826,01
21.1,445.21,4.5854,01
21.2,449.44,4.5881,01
21.3,453.69,4.5909,01
21.4,457.96,4.5936,01
21.5,462.25,4.5964,01
21.6,466.56,4.5991,01
21.7,470.89,4.6019,01
21.8,475.24,4.6046,01
21.9,479.61,4.6073,01
22,484,4.6904,01
22.1,488.41,4.6930,01
22.2,492.84,4.6957,01
22.3,497.29,4.6984,01
22.4,501.76,4.7010,01
22.5,506.25,4.7037,01
22.6,510.76,4.7063,01
22.7,515.29,4.7090,01
22.8,519.84,4.7116,01
22.9,524.41,4.7143,01
23,529,4.7958,01
23.1,533.61,4.7983,01
23.2,538.24,4.8009,01
23.3,542.89,4.8035,01
23.4,547.56,4.8061,01
23.5,552.25,4.8087,01
23.6,556.96,4.8112,01
23.7,561.69,4.8138,01
23.8,566.44,4.8163,01
23.9,571.21,4.8189,01
24,576,4.8990,01
24.1,580.81,4.9014,01
24.2,585.64,4.9039,01
24.3,590.49,4.9064,01
24.4,595.36,4.9088,01
24.5,600.25,4.9113,01
24.6,605.16,4.9137,01
